Table 11,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,
"by State by State, Tribal, and Other Agencies, 2015",,,,,,,,,,,,,,
State,State/Tribal/Other Agencies,Unit/Office,"Violent crime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson3,
,,Franklin,0,0,0,,0,0,1,0,1,0,1,
,,Franklin County,2,1,0,,0,1,2,0,2,0,0,
,,Frederick County,7,0,0,,0,7,12,1,10,1,0,
,,Fredericksburg,1,0,0,,0,1,1,0,1,0,0,
,,Galax,0,0,0,,0,0,0,0,0,0,0,
,,Giles County,2,0,0,,0,2,2,2,0,0,2,
,,Gloucester County,0,0,0,,0,0,4,0,4,0,0,
,,Goochland County,1,0,0,,0,1,2,0,0,2,0,
,,Grayson County,2,0,1,,0,1,1,0,1,0,1,
,,Greene County,0,0,0,,0,0,0,0,0,0,0,
,,Greensville County,8,0,0,,0,8,2,0,2,0,1,
,,Halifax County,0,0,0,,0,0,1,0,1,0,0,
,,Hampton,3,0,0,,0,3,4,0,1,3,0,
,,Hanover County,6,0,0,,0,6,5,0,4,1,0,
,,Harrisonburg,4,0,0,,0,4,6,0,6,0,0,
,,Henrico County,2,0,1,,0,1,11,0,10,1,0,
,,Henry County,3,0,1,,0,2,5,1,2,2,1,
,,Highland County,0,0,0,,0,0,0,0,0,0,0,
,,Hopewell,0,0,0,,0,0,0,0,0,0,0,
,,Isle of Wight County,1,0,0,,0,1,1,0,0,1,2,
,,James City County,0,0,0,,0,0,1,0,1,0,0,
,,King and Queen County,1,0,0,,0,1,2,1,1,0,0,
,,King George County,0,0,0,,0,0,2,0,2,0,0,
,,King William County,1,0,0,,0,1,0,0,0,0,0,
,,Lancaster County,0,0,0,,0,0,2,1,0,1,1,
,,Lee County,3,0,0,,0,3,8,0,7,1,5,
,,Lexington,0,0,0,,0,0,1,0,1,0,0,
,,Loudoun County,4,1,0,,0,3,1,0,1,0,1,
,,Louisa County,9,0,0,,1,8,4,1,3,0,2,
,,Lunenburg County,3,0,0,,0,3,1,0,1,0,0,
,,Lynchburg,0,0,0,,0,0,4,0,3,1,0,
,,Madison County,0,0,0,,0,0,0,0,0,0,0,
,,Manassas,1,0,0,,0,1,1,0,0,1,0,
,,Martinsville,0,0,0,,0,0,1,0,1,0,0,
,,Mathews County,0,0,0,,0,0,1,0,1,0,0,
,,Mecklenburg County,1,0,0,,0,1,8,0,6,2,0,
,,Middlesex County,0,0,0,,0,0,1,0,1,0,2,
,,Montgomery County,6,1,0,,0,5,3,0,3,0,0,
,,Nelson County,1,0,0,,0,1,2,1,1,0,2,
,,New Kent County,0,0,0,,0,0,7,0,6,1,0,
,,Newport News,3,0,0,,0,3,6,0,2,4,1,
,,Norfolk,6,0,0,,0,6,4,0,1,3,0,
,,Northampton County,2,1,0,,0,1,3,0,3,0,2,
,,Northumberland County,2,0,0,,0,2,3,1,2,0,0,
,,Norton,1,0,0,,0,1,0,0,0,0,0,
,,Nottoway County,4,1,0,,0,3,1,0,1,0,0,
,,Orange County,0,0,0,,0,0,4,0,3,1,0,
,,Page County,4,0,0,,0,4,4,0,4,0,0,
,,Patrick County,2,0,0,,0,2,3,0,3,0,0,
,,Petersburg,5,0,0,,0,5,2,0,2,0,1,
,,Pittsylvania County,7,1,0,,0,6,13,0,4,9,0,
,,Poquoson,0,0,0,,0,0,0,0,0,0,1,
,,Portsmouth,3,3,0,,0,0,1,0,1,0,0,
,,Powhatan County,3,1,0,,0,2,0,0,0,0,2,
,,Prince Edward County,5,1,0,,1,3,7,2,5,0,0,
,,Prince George County,3,0,0,,1,2,0,0,0,0,0,
,,Prince William County,6,0,1,,1,4,10,0,4,6,0,
,,Pulaski County,3,1,0,,0,2,7,0,6,1,0,
,,Radford,0,0,0,,0,0,0,0,0,0,0,
,,Rappahannock County,1,0,0,,0,1,1,0,1,0,0,
,,Richmond,24,0,0,,0,24,12,0,3,9,0,
,,Richmond County,1,0,0,,0,1,2,0,2,0,0,
,,Roanoke,0,0,0,,0,0,6,1,5,0,1,
,,Roanoke County,7,0,0,,0,7,8,0,8,0,1,
,,Rockbridge County,0,0,0,,0,0,5,0,4,1,0,
,,Rockingham County,9,0,0,,0,9,35,1,13,21,0,
,,Russell County,6,0,3,,0,3,7,1,4,2,5,
,,Salem,1,0,0,,0,1,0,0,0,0,0,
,,Scott County,10,1,1,,0,8,7,2,4,1,2,
,,Shenandoah County,0,0,0,,0,0,4,0,1,3,0,
,,Smyth County,4,0,0,,0,4,14,2,9,3,1,
,,Southampton County,2,0,0,,0,2,1,0,0,1,0,
,,Spotsylvania County,3,0,0,,0,3,6,1,3,2,0,
,,Stafford County,2,0,0,,0,2,5,0,4,1,0,
,,Staunton,2,0,1,,0,1,3,0,3,0,0,
,,Suffolk,0,0,0,,0,0,1,0,0,1,0,
,,Surry County,1,0,0,,0,1,1,0,1,0,0,
,,Sussex County,1,0,0,,0,1,2,1,1,0,0,
,,Tazewell County,6,0,3,,0,3,17,1,16,0,1,
,,Virginia Beach,4,0,0,,0,4,3,0,1,2,0,
,,Warren County,1,0,0,,0,1,4,0,4,0,0,
,,Washington County,0,0,0,,0,0,8,1,3,4,15,
,,Waynesboro,0,0,0,,0,0,4,0,4,0,0,
,,Westmoreland County,3,0,1,,0,2,3,1,2,0,1,
,,Williamsburg,0,0,0,,0,0,0,0,0,0,0,
,,Winchester,3,0,0,,0,3,1,0,0,1,0,
,,Wise County,10,3,0,,2,5,10,0,8,2,0,
,,Wythe County,10,0,2,,1,7,24,1,22,1,3,
,,York County,3,0,0,,0,3,2,0,2,0,0,
,Virginia State Capitol,,1,0,0,,0,1,39,0,39,0,0,
VIRGINIAÐOther Agencies,Norfolk Airport Authority,,0,0,0,,0,0,44,0,43,1,0,
,Port Authority,Norfolk,0,0,0,,0,0,1,0,1,0,0,
,Reagan National Airport,,1,0,0,,0,1,423,2,381,40,0,
,Richmond International Airport,,0,0,0,,0,0,50,0,16,34,0,
WASHINGTONÐState Agencies,State Gambling Commission ,Enforcement Unit,0,0,0,,0,0,12,2,10,0,0,
,State Insurance Commissioner,Special Investigations Unit,0,0,0,,0,0,0,0,0,0,0,
,Washington State Patrol,,0,0,0,,0,0,0,0,0,0,0,
WASHINGTONÐTribal Agencies,Chehalis Tribal,,0,0,0,,0,0,63,24,32,7,4,
,Hoh Tribal,,1,0,0,,0,1,7,5,2,0,,
,Jamestown S'Klallam Tribal,,1,0,0,,0,1,9,1,8,0,,
,Kalispel Tribal,,7,0,1,,1,5,67,3,43,21,0,
,La Push Tribal,,2,0,1,,0,1,37,8,24,5,0,
,Lummi Tribal,,51,0,11,,3,37,239,75,156,8,2,
,Port Gamble S'Klallam Tribal,,0,0,0,,0,0,38,5,31,2,0,
,Sauk-Suiattle Tribal,,0,0,0,,0,0,0,0,0,0,0,
,Shoalwater Bay Tribal,,0,0,0,,0,0,0,0,0,0,0,
,Spokane Agency,,13,0,1,,0,12,79,29,44,6,0,
,Stillaguamish Tribal,,0,0,0,,0,0,13,2,7,4,,
,Swinomish Tribal,,1,0,1,,0,0,58,17,40,1,0,
WASHINGTONÐOther Agencies,Law Enforcement Against Drugs Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Port of Seattle,,11,0,0,,0,11,"1,104",22,967,115,0,
,Skagit County Interlocal Drug Enforcement Unit,,0,0,0,,0,0,0,0,0,0,0,
WEST VIRGINIAÐState Agencies,Department of Natural Resources:,Barbour County,0,0,0,,0,0,0,0,0,0,0,
,,Berkeley County,0,0,0,,0,0,0,0,0,0,0,
,,Boone County,0,0,0,,0,0,0,0,0,0,0,
,,Brooke County,0,0,0,,0,0,0,0,0,0,0,
,,Cabell County,0,0,0,,0,0,0,0,0,0,0,
,,Calhoun County,0,0,0,,0,0,0,0,0,0,0,
,,Doddridge County,0,0,0,,0,0,0,0,0,0,0,
,,Gilmer County,0,0,0,,0,0,0,0,0,0,0,
,,Grant County,0,0,0,,0,0,0,0,0,0,0,
,,Hampshire County,0,0,0,,0,0,0,0,0,0,0,
,,Hancock County,0,0,0,,0,0,0,0,0,0,0,
,,Hardy County,0,0,0,,0,0,0,0,0,0,0,
,,Harrison County,0,0,0,,0,0,0,0,0,0,0,
,,Jackson County,0,0,0,,0,0,0,0,0,0,0,
,,Jefferson County,0,0,0,,0,0,0,0,0,0,0,
,,Kanawha County,0,0,0,,0,0,0,0,0,0,0,
,,Lincoln County,0,0,0,,0,0,0,0,0,0,0,
,,Logan County,0,0,0,,0,0,0,0,0,0,0,
,,Marion County,0,0,0,,0,0,0,0,0,0,0,
,,Marshall County,0,0,0,,0,0,0,0,0,0,0,
,,Mason County,0,0,0,,0,0,0,0,0,0,0,
,,Mineral County,0,0,0,,0,0,0,0,0,0,0,
,,Mingo County,0,0,0,,0,0,0,0,0,0,0,
,,Monongalia County,0,0,0,,0,0,0,0,0,0,0,
,,Morgan County,0,0,0,,0,0,0,0,0,0,0,
,,Ohio County,0,0,0,,0,0,0,0,0,0,0,
,,Pendleton County,0,0,0,,0,0,0,0,0,0,0,
,,Pleasants County,0,0,0,,0,0,0,0,0,0,0,
,,Preston County,0,0,0,,0,0,0,0,0,0,0,
,,Putnam County,0,0,0,,0,0,0,0,0,0,0,
,,Ritchie County,0,0,0,,0,0,0,0,0,0,0,
,,Roane County,0,0,0,,0,0,0,0,0,0,0,
,,Taylor County,0,0,0,,0,0,0,0,0,0,0,
,,Tucker County,0,0,0,,0,0,0,0,0,0,0,
,,Tyler County,0,0,0,,0,0,0,0,0,0,0,
,,Wayne County,0,0,0,,0,0,0,0,0,0,0,
,,Wetzel County,0,0,0,,0,0,0,0,0,0,0,
,,Wirt County,0,0,0,,0,0,0,0,0,0,0,
,,Wood County,0,0,0,,0,0,0,0,0,0,0,
,"State Police, Bureau of Criminal Investigations:",Beckley,0,0,0,,0,0,0,0,0,0,0,
,,Bluefield,0,0,0,,0,0,0,0,0,0,0,
,,Buckhannon,0,0,0,,0,0,0,0,0,0,0,
,,Fairmont,0,0,0,,0,0,0,0,0,0,0,
,"State Police, Parkway Authority:",Fayette County,0,0,0,,0,0,3,0,3,0,0,
,,Kanawha County,0,0,0,,0,0,5,0,5,0,0,
,,Mercer County,2,0,0,,0,2,2,1,1,0,0,
,,Raleigh County,1,0,0,,1,0,6,1,5,0,0,
,State Police:,Beckley,30,0,12,,1,17,315,66,220,29,0,
,,Berkeley Springs,8,0,1,,0,7,86,23,53,10,1,
,,Buckhannon,17,0,9,,0,8,108,24,72,12,0,
,,Clay,11,0,2,,4,5,48,12,25,11,0,
,,Elizabeth,13,0,2,,0,11,84,6,77,1,4,
,,Elkins,36,0,11,,0,25,232,25,193,14,2,
,,Fairmont,15,0,6,,0,9,85,22,56,7,0,
,,Franklin,7,0,1,,0,6,37,21,13,3,1,
,,Gauley Bridge,2,0,0,,0,2,38,5,31,2,1,
,,Glenville,38,1,2,,0,35,32,12,19,1,1,
,,Grafton,1,1,0,,0,0,3,3,0,0,0,
,,Grantsville,10,0,0,,0,10,22,6,14,2,1,
,,Hamlin,69,1,7,,1,60,259,57,169,33,2,
,,Harrisville,4,0,0,,0,4,41,15,23,3,0,
,,Hinton,9,0,1,,1,7,65,27,29,9,1,
,,Hundred,3,1,1,,0,1,22,14,7,1,0,
,,Huntington6,30,0,6,,5,19,,64,,16,1,
,,Internet Crimes Against Children Unit,24,0,15,,0,9,0,0,0,0,0,
,,Jesse,20,0,2,,0,18,48,17,26,5,1,
,,Kearneysville,16,0,3,,3,10,228,41,177,10,1,
,,Keyser,18,0,6,,0,12,205,66,128,11,0,
,,Kingwood,44,1,7,,0,36,149,49,90,10,1,
,,Lewisburg,6,0,1,,0,5,94,14,78,2,1,
,,Logan,55,1,13,,7,34,313,82,199,32,6,
,,Madison,13,0,1,,0,12,185,37,134,14,0,
,,Marlinton,11,0,2,,0,9,61,11,46,4,1,
,,Martinsburg,64,0,12,,10,42,582,138,394,50,3,
,,Moorefield,20,0,1,,0,19,54,30,21,3,0,
,,Morgantown,49,2,15,,9,23,491,155,303,33,0,
,,Moundsville,14,1,6,,1,6,12,4,6,2,0,
,,New Cumberland,4,0,2,,0,2,20,0,17,3,0,
,,Oak Hill,18,0,5,,1,12,110,24,80,6,2,
,,Paden City,7,2,2,,0,3,28,12,13,3,0,
,,Parkersburg,14,1,3,,1,9,203,77,114,12,0,
,,Parsons,14,0,5,,0,9,34,13,20,1,0,
,,Petersburg,14,1,4,,0,9,34,17,16,1,0,
,,Philippi,59,0,3,,0,56,63,22,33,8,0,
,,Point Pleasant,17,0,4,,1,12,61,22,36,3,0,
,,Princeton,19,0,3,,1,15,306,54,242,10,1,
,,Rainelle,8,1,3,,0,4,80,27,44,9,0,
,,Richwood,14,0,0,,0,14,58,14,40,4,0,
,,Ripley,4,0,0,,0,4,65,21,39,5,0,
,,Romney,14,0,4,,0,10,64,24,39,1,0,
,,South Charleston,24,1,6,,0,17,359,28,302,29,0,
,,Spencer,16,0,3,,0,13,50,9,26,15,0,
,,St. Marys,2,0,0,,0,2,9,2,7,0,0,
,,Summersville,17,0,0,,0,17,77,11,57,9,0,
,,Sutton,20,0,2,,1,17,89,17,63,9,3,
,,Union,6,0,0,,0,6,64,21,39,4,0,
,,Upperglade,53,0,2,,0,51,39,12,25,2,0,
,,Wayne,38,1,5,,3,29,507,119,349,39,2,
,,Welch,21,0,7,,0,14,102,33,59,10,4,
,,Wellsburg,19,0,5,,1,13,21,5,15,1,0,
,,West Union,7,0,4,,0,3,30,8,19,3,0,
,,Weston,21,0,1,,2,18,96,16,74,6,0,
,,Wheeling,9,0,6,,1,2,24,3,21,0,0,
,,Whitesville,19,0,1,,0,18,73,21,47,5,0,
,,Williamson,29,0,2,,3,24,118,34,75,9,1,
,,Winfield,14,0,1,,1,12,131,18,101,12,0,
WEST VIRGINIAÐOther Agencies,Eastern Panhandle Drug and Violent Crime Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Greenbrier County Drug and Violent Crime Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Hancock/Brooke/Weirton Drug Task Force,,1,1,0,,0,0,1,1,0,0,0,
,Kanawha County Parks and Recreation,,0,0,0,,0,0,2,0,2,0,0,
,Logan County Drug and Violent Crime Task Force,,1,0,0,,0,1,0,0,0,0,0,
,Metropolitan Drug Enforcement Network Team,,0,0,0,,0,0,0,0,0,0,0,
,Ohio Valley Drug and Violent Crime Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Parkersburg Narcotics and Violent Crime Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Potomac Highlands Drug and Violent Crime Task Force,,0,0,0,,0,0,0,0,0,0,0,
,Three Rivers Drug and Violent Crime Task Force,,0,0,0,,0,0,0,0,0,0,0,
WISCONSINÐState Agencies,Capitol Police,,1,0,,0,0,1,83,2,80,1,0,
,Department of Natural Resources,,0,0,,0,0,0,0,0,0,0,0,
,Wisconsin State Patrol,,0,0,,0,0,0,0,0,0,0,0,
WISCONSINÐTribal Agencies,Bad River Tribal,,14,0,,0,0,14,32,8,23,1,0,
,Lac du Flambeau Tribal,,35,0,4,,1,30,189,19,165,5,0,
,Menominee Tribal,,24,0,9,,0,15,93,13,57,23,1,
,Oneida Tribal,,21,2,2,,4,13,107,27,76,4,2,
,Red Cliff Tribal,,10,0,3,,0,7,54,13,40,1,,
,St. Croix Tribal,,2,0,0,,0,2,50,18,27,5,0,
,Stockbridge Munsee Tribal,,6,1,0,,0,5,53,16,36,1,,
WYOMINGÐTribal Agencies,Wind River Agency,,108,1,6,,1,100,145,31,91,23,2,
PUERTO RICO AND OTHER OUTLYING AREAS,Puerto Rico,,"7,836",584,,165,"4,122","2,965","38,721","9,427","25,165","4,129",,
,U.S. Virgin Islands:,St. Croix,291,23,19,,77,172,932,440,403,89,49,
,,St. Thomas,608,23,32,,77,476,"1,189",456,639,94,72,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.  ,,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,,,,
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,,,
"4 This agency began the year submitting rape data classified according to the legacy UCR definition. However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See the data declaration for further explanation.",,,,,,,,,,,,,,
"5 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,,
"6 The FBI determined that the agency's data were underreported. Consequently, those data are not included in this table.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
